citekey,entry_type,title,author,year,journal,doi,url,pages,volume,number,scopus_type,note,open_access_flag,gold_oa,green_oa
Jia2025,ARTICLE,Efficacy and safety of GLP-1 receptor agonists in the treatment of obese patients with chronic heart failure: a meta-analysis,"Jia, Anna and Yang, Ming and Wang, Tianhong and Hua, Yusi and Lu, Huimin",2025,Frontiers in Cardiovascular Medicine,10.3389/fcvm.2025.1633114,https://www.scopus.com/pages/publications/105019221937?origin=resultslist,,12,,Review,Cited by: 3; All Open Access; Gold Open Access; Green Open Access,True,True,True
Beutler2026,ARTICLE,GLP-1 physiology and pharmacology along the gut-brain axis,"Beutler, Lisa R.",2026,The Journal of clinical investigation,10.1172/JCI194744,https://www.scopus.com/pages/publications/105027705055?origin=resultslist,,136,2,Review,Cited by: 14; All Open Access; Gold Open Access; Green Open Access,True,True,True
Duru20265263,ARTICLE,Impact of glucagon-like peptide-1 receptor agonists on outcomes following anterior cervical discectomy and fusion: a systematic review and meta-analysis,"Duru, Dave Osinachukwu and Lee, David Kwan Ryung and Edmonds, Chloe and Abraham, Aron and Peach, Younis and Louie, Philip K.",2026,European Spine Journal,10.1007/s00586-026-10258-y,https://www.scopus.com/pages/publications/105046857499?origin=resultslist,5263 - 5271,35,9,Review,Cited by: 0; All Open Access; Hybrid Gold Open Access,True,True,False
Bair20262545,ARTICLE,"GLP-1 Receptor Agonists and the Ocular Surface: A Narrative Review of Restoration, Remodeling, and Clinical Implications","Bair, Henry and Orlick, Molly and Syed, Zeba A.",2026,Ophthalmology and Therapy,10.1007/s40123-026-01425-x,https://www.scopus.com/pages/publications/105043113750?origin=resultslist,2545 - 2562,15,8,Review,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
Badulescu2024,ARTICLE,Glucagon-like peptide 1 agonist and effects on reward behaviour: A systematic review,"Badulescu, Sebastian and Tabassum, Aniqa and Le, Gia Han and Wong, Sabrina and Phan, Lee and Gill, Hartej and Llach, Cristian-Daniel and McIntyre, Roger S. and Rosenblat, Joshua and Mansur, Rodrigo",2024,Physiology and Behavior,10.1016/j.physbeh.2024.114622,https://www.scopus.com/pages/publications/85197167217?origin=resultslist,,283,,Review,Cited by: 74; All Open Access; Hybrid Gold Open Access,True,True,False
Fabiano2025182,ARTICLE,"The Hypothalamus and Hippocampus are Targets for New Drugs Controlling the Energy Balance and Treating Type 2 Diabetes Mellitus, Obesity, and Neurodegenerative Diseases; [El Hipotalamo y el Hipocampo son Blancos de Nuevos Fármacos que Controlan el Equilibrio Energético y Tratan la Diabetes Mellitus Tipo 2, la Obesidad y las Enfermedades Neurodegenerativas]","Fabiano, Matheus Melo and Aguila, Marcia Barbosa and Mandarim-De-lacerda, Carlos A.",2025,International Journal of Morphology,10.4067/S0717-95022025000100182,https://www.scopus.com/pages/publications/105001443153?origin=resultslist,182 - 193,43,1,Review,Cited by: 5; All Open Access; Gold Open Access; Green Open Access,True,True,True
Costa2025,ARTICLE,Efficacy and Safety of GLP-1 Receptor Agonists and SGLT-2 Inhibitors in the Treatment of Diabetes Mellitus and Obesity in Liver Transplant Recipients: A Systematic Review,"Costa, Elena Garlatti and Bitetto, Davide and Fornasiere, Ezio and Fumolo, Elisa and Ferrarese, Alberto and Toniutto, Pierluigi",2025,Journal of Clinical Medicine,10.3390/JCM14134619,https://www.scopus.com/pages/publications/105019516532?origin=resultslist,,14,13,Review,Cited by: 6; All Open Access; Gold Open Access; Green Open Access,True,True,True
Dias2025,ARTICLE,Nutritional Approaches to Enhance GLP-1 Analogue Therapy in Obesity: A Narrative Review,"Dias, Denise Deo and Vasconcelos, Andrea Rodrigues and Souza, Ana Carolina Remondi and Menezes, Caroline de and Silva, Isabella Sobral Teixeira e and Name, José João",2025,Obesities,10.3390/obesities5040088,https://www.scopus.com/pages/publications/105025744353?origin=resultslist,,5,4,Review,Cited by: 8; All Open Access; Gold Open Access; Green Open Access,True,True,True
Albaghlany2026,ARTICLE,The molecular mechanisms of incretin resistance in Type 2 Diabetes Mellitus (T2DM),"Albaghlany, Rawayh Muslim and Mansour, Abbas Ali",2026,Nutrition and Diabetes,10.1038/s41387-026-00426-w,https://www.scopus.com/pages/publications/105043491531?origin=resultslist,,16,1,Review,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
Frey20261221,ARTICLE,GLP-1 receptor agonists and immune checkpoint inhibitor therapy: a narrative review on mechanistic and clinical evidence,"Frey, Connor",2026,Future Oncology,10.1080/14796694.2026.2654735,https://www.scopus.com/pages/publications/105034854999?origin=resultslist,1221 - 1231,22,10,Review,Cited by: 2; All Open Access; Green Open Access,True,False,True
