citekey,entry_type,title,author,year,journal,doi,url,pages,volume,number,scopus_type,note,open_access_flag,gold_oa,green_oa
Desai2024631,ARTICLE,Heart failure with mildly reduced and preserved ejection fraction: A review of disease burden and remaining unmet medical needs within a new treatment landscape,"Desai, Nihar and Olewinska, Elzbieta and Famulska, Agata and Remuzat, Cécile and Francois, Clément and Folkerts, Kerstin",2024,Heart Failure Reviews,10.1007/s10741-024-10385-y,https://www.scopus.com/pages/publications/85186199365?origin=resultslist,631 - 662,29,3,Article,Cited by: 26; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True
Chai2024,ARTICLE,"Identification, screening, and comprehensive evaluation of novel thrombin inhibitory peptides from the hirudo produced using pepsin","Chai, Xiaoyu and Pan, Fulu and Wang, Qianqian and Wang, Xinyu and Li, Xueyan and Qi, Dongying and Yi, Zirong and Liu, Huan and Zhang, Jing and Zhang, Yiming and Pan, Yanli and Liu, Yang and Wang, Guopeng",2024,Frontiers in Pharmacology,10.3389/fphar.2024.1460053,https://www.scopus.com/pages/publications/85210999523?origin=resultslist,,15,,Article,Cited by: 3; All Open Access; Gold Open Access; Green Open Access,True,True,True
Kitazawa2026,ARTICLE,Quantitative method for analyzing the adhesion and migration dynamics of porous microspheres on the cell surfaces using in vitro cultured gastrointestinal epithelial and mucus-secreting cells,"Kitazawa, Takeo and Hatori, Yuta and Takano, Mikihisa and Matsumoto, Akihiro",2026,Results in Materials,10.1016/j.rinma.2026.101021,https://www.scopus.com/pages/publications/105047440569?origin=resultslist,,31,,Article,Cited by: 0; All Open Access; Gold Open Access,True,True,False
Lee202670,ARTICLE,Immunoregulatory protein-hybrid extracellular vesicles via self-loadable backbone cyclization for oral inflammatory bowel disease therapy,"Lee, Yeonju and Yoo, Chaerim and Kim, Kyung-Min and Kim, Sumin and Oh, Yu Kyung and Cho, Sookyung and Kim, Gil-Ran and Choi, Je-Min and Yang, Ji Yeong and Jung, Hyo-Il and Park, Sijin and Lee, Dong Yun and Kim, Young-Pil",2026,Bioactive Materials,10.1016/j.bioactmat.2025.11.036,https://www.scopus.com/pages/publications/105023323332?origin=resultslist,70 - 88,58,,Article,Cited by: 2; All Open Access; Gold Open Access; Green Open Access,True,True,True
Richards2025,ARTICLE,A Remotely Delivered GLP-1RA–Supported Specialist Weight Management Program in Adults Living With Obesity: Retrospective Service Evaluation,"Richards, Rebecca and Whitman, Michael and Wren, Gina and Campion, Peta",2025,JMIR Formative Research,10.2196/72577,https://www.scopus.com/pages/publications/105009338813?origin=resultslist,,9,,Article,Cited by: 3; All Open Access; Gold Open Access; Green Open Access,True,True,True
Zachou2024127,ARTICLE,The role of anti-diabetic drugs in NAFLD. Have we found the Holy Grail? A narrative review,"Zachou, Maria and Flevari, Pagona and Nasiri-Ansari, Narjes and Varytimiadis, Constantinos and Kalaitzakis, Evangelos and Kassi, Eva and Androutsakos, Theodoros",2024,European Journal of Clinical Pharmacology,10.1007/s00228-023-03586-1,https://www.scopus.com/pages/publications/85176132026?origin=resultslist,127 - 150,80,1,Article,Cited by: 30; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True
Xu2025,ARTICLE,Semaglutide ameliorates retinal vascular permeability destruction in diabetic retinopathy by AnxA2-mediated MMP-9 activation and basement membrane remodeling,"Xu, Chengye and Meng, Ziyu and Lin, Wenjian and Li, Hongxue and Xu, Qian and Zhao, Kangqi and Chen, Yangwen and Wang, Yan and Zou, Wei and Kuang, Binglin and Kuang, Hongyu",2025,Biomedicine and Pharmacotherapy,10.1016/j.biopha.2025.118409,https://www.scopus.com/pages/publications/105011853155?origin=resultslist,,190,,Article,Cited by: 7; All Open Access; Gold Open Access,True,True,False
Sklepinski2025,ARTICLE,Comparative effectiveness of GLP-1 receptor agonists on cardiovascular outcomes among adults with type 2 diabetes and moderate cardiovascular risk: emulation of a target trial,"Sklepinski, Stacey M. and Deng, Yihong and Swarna, Kavya Sindu and Herrin, Jeph and Polley, Eric C. and Neumiller, Joshua J. and Galindo, Rodolfo J. and Umpierrez, Guillermo E. and Ross, Joseph S. and Borah, Bijan J. and Maron, Bradley A. and Mickelson, Mindy M. and McCoy, Rozalina G.",2025,Diabetes Research and Clinical Practice,10.1016/j.diabres.2025.112910,https://www.scopus.com/pages/publications/105017713764?origin=resultslist,,229,,Article,Cited by: 8; All Open Access; Hybrid Gold Open Access,True,True,False
Goldberg2025,ARTICLE,The Chimeric Peptide (GEP44) Reduces Body Weight and Both Energy Intake and Energy Expenditure in Diet-Induced Obese Rats,"Goldberg, Matvey and Blevins, James E. and Wolden-Hanson, Tami and Elfers, Clinton T. and Chichura, Kylie S. and Ashlaw, Emily F. and den Hartigh, Laura J. and Roth, Christian L. and Doyle, Robert P.",2025,International Journal of Molecular Sciences,10.3390/ijms26073032,https://www.scopus.com/pages/publications/105002293504?origin=resultslist,,26,7,Article,Cited by: 2; All Open Access; Gold Open Access; Green Open Access,True,True,True
Tonon2026,ARTICLE,Liraglutide Modifies Gut Microbiota Without Modulating Doxorubicin-Induced Toxicity in Rats,"Tonon, Carolina R. and Monte, Marina G. and Ballin, Paola S. and Fujimori, Anderson S. S. and Ferreira, Natália F. and Vieira, Nayane M. and Carreira, Lara P. and Rodrigues, Maria A. M. and Rodrigues, Josias and Almeida Junior, Luiz and Di Stasi, Luiz C. and Santos, Andrey and Magro, Daniela O. and Minicucci, Marcos F. and Zornoff, Leonardo A. M. and Okoshi, Marina P. and Paiva, Sergio A. R. and Polegato, Bertha F.",2026,Antioxidants,10.3390/antiox15050538,https://www.scopus.com/pages/publications/105040134614?origin=resultslist,,15,5,Article,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
