citekey,entry_type,title,author,year,journal,doi,url,pages,volume,number,scopus_type,note,open_access_flag,gold_oa,green_oa
Boye2026,ARTICLE,Development of the Patient Satisfaction with Medication for Diabetes (PSMD) questionnaire,"Boye, Kristina S. and Stewart, Katie D. and Matza, Louis S. and Soucier-Ernst, Danielle and Houle, Christy and Goetz, Iris and Patel, Hiren and Kanu, Chisom",2026,Journal of Patient-Reported Outcomes,10.1186/s41687-026-01037-w,https://www.scopus.com/pages/publications/105037661833?origin=resultslist,,10,1,Article,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
Zhang2026,ARTICLE,Microneedle patches deliver targeted GLP-1RAs-loaded nanoparticles for the treatment of rheumatoid arthritis,"Zhang, Hongyu and liu, Yao and Zhang, Shiyu and Wang, Zuli and Zhang, Xia and Zhang, Yang and Zhang, Ji and Liang, Shenju and Li, Changqing and Su, Min and Tian, Zhiqiang and Luo, Liwen",2026,Journal of Nanobiotechnology,10.1186/s12951-026-04261-0,https://www.scopus.com/pages/publications/105034455687?origin=resultslist,,24,1,Article,Cited by: 2; All Open Access; Gold Open Access; Green Open Access,True,True,True
Khater2026,ARTICLE,Phyllanthus niruri niosomes ameliorate obesity-induced hepatic steatosis in rats via modulating MALAT1/miR-206/GLP-1R signaling and hepatic lipid metabolism,"Khater, Safaa I. and Hussein, Mohamed M. A. and Abdel-Magied, Saydat S. and Lotfy, Marwa M. and khamis, Tarek and Abdelaziz, Sahar and Mostafa, Mahmoud and El-Shaer, Noha Osama and El-Emam, Mahran Mohamed Abd",2026,Biological Research,10.1186/s40659-026-00682-1,https://www.scopus.com/pages/publications/105038049405?origin=resultslist,,59,1,Article,Cited by: 2; All Open Access; Gold Open Access; Green Open Access,True,True,True
Jeong2026,ARTICLE,Morphology-driven zinc oxide biointeractive carriers with biological barrier modulating effects for pulmonary delivery of liraglutide,"Jeong, Jin-Hyuk and Han, Chang-Soo and Kang, Ji-Hyun and Kim, Dong-Wook and Park, Chun-Woong",2026,Journal of Nanobiotechnology,10.1186/s12951-026-04085-y,https://www.scopus.com/pages/publications/105039942090?origin=resultslist,,24,1,Article,Cited by: 1; All Open Access; Gold Open Access,True,True,False
Barrett2026,ARTICLE,Evaluation of the experience of people referred under the NHS enhanced service incentive for obesity to the NHS digital weight management programme: a mixed method study,"Barrett, Simon and Haffner, Stella JP. and McSweeney, Lorraine and Rothwell, Charlotte and Fong, Mackenzie and Jebb, Susan A. and Indulkar, Tejal and Taylor, Katharine and Adamson, Ashley J. and Heath, Laura and Aveyard, Paul",2026,BMC Public Health,10.1186/s12889-026-26203-z,https://www.scopus.com/pages/publications/105030306285?origin=resultslist,,26,1,Article,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
Chen2026,ARTICLE,Novel approach for diabetic wound healing: adipose-derived mesenchymal stromal cells Exo@SPHydrogel combined with laser therapy,"Chen, Weizhi and Hong, Jie and Wei, Yiliu and Ye, Junchen and Wu, Qiaoyi",2026,npj Regenerative Medicine,10.1038/s41536-026-00459-w,https://www.scopus.com/pages/publications/105034376613?origin=resultslist,,11,1,Article,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
Huang2026,ARTICLE,SRT1720-loaded exosome-mimetic nanovesicles promote mitophagy via SIRT1/PARKIN activation to ameliorate diabetic cerebral infarction in a preclinical rat model,"Huang, Qifeng and Zhao, Fang and Sun, Bo and Yang, Xie and Chen, Miao",2026,International Journal of Pharmaceutics: X,10.1016/j.ijpx.2026.100639,https://www.scopus.com/pages/publications/105047791672?origin=resultslist,,12,,Article,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
Li2026,ARTICLE,A hybrid system enables plasmid copy number control in yeast,"Li, Anni and Zhao, Qingyang and Yang, Zhunyi and Cheng, Jiesheng and Xu, Dong and Zhang, Yueyao and He, Ting and Zhuo, Bingzhao and Zhao, Xing and Rao, Xiaolin and Wang, Hui and Chen, Lizhu and Luo, Zhouqing",2026,Nature Communications,10.1038/s41467-026-75973-y,https://www.scopus.com/pages/publications/105048512387?origin=resultslist,,17,1,Article,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
Wu2026,ARTICLE,Efficacy and safety of anti-prediabetic drugs in patients with prediabetes: a Bayesian network meta-analysis,"Wu, Yike and Wang, Zihan and Tuersun, Adili and Yu, Qiuxia and Zhong, Yu and Ali, Shah Syed Alfakhar and Liu, Haiyang and Hu, Xinyi and Zhang, Yanfei and Pang, Liyuan and Li, Longzhou and Gao, Long and Wu, Qiwen and Wang, Shan and Cui, Meng and Sun, Linglu and Wu, Yulin and Yin, Antong and Zhang, Lei and Ma, Guo",2026,BMC Medicine,10.1186/s12916-026-04705-2,https://www.scopus.com/pages/publications/105034457395?origin=resultslist,,24,1,Article,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
Guo2026,ARTICLE,PCSK5 promotes angiogenesis and cardiac repair after myocardial infarction,"Guo, Jieyu and Ma, Siyu and Ma, Jinghua and Liu, Ming and Ge, Fei and Wang, Xinhong and Lin, Jiayi and Jiang, Nan and Lin, Xiaoke and Lian, Zhipeng and Zuo, Zheng and Li, Liliang and Cao, Genmao and Li, Yongbo and Wei, Xiangxiang and NG, Xianlong and Zhi, Xiuling and Osto, Elena and Dai, Yuxiang and Li, Jun and Wang, Lixin and Jiang, Hong and Meng, Dan",2026,Nature Communications,10.1038/s41467-026-72148-7,https://www.scopus.com/pages/publications/105043675627?origin=resultslist,,17,1,Article,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
