citekey,entry_type,title,author,year,journal,doi,url,pages,volume,number,scopus_type,note,open_access_flag,gold_oa,green_oa
Laaboudi2024,ARTICLE,"In the weeds: A comprehensive review of cannabis; its chemical complexity, biosynthesis, and healing abilities","Laaboudi, Fatima-Zahrae and Rejdali, Mohamed and Amhamdi, Hassan and Salhi, Amin and Elyoussfi, Abedellah and Ahari, M.’hamed",2024,Toxicology Reports,10.1016/j.toxrep.2024.101685,https://www.scopus.com/pages/publications/85197372392?origin=resultslist,,13,,Review,Cited by: 30; All Open Access; Gold Open Access; Green Open Access,True,True,True
Blebea2025,ARTICLE,Recent Preclinical Evidence on Phytocannabinoids in Neurodegenerative Disorders: A Focus on Parkinson’s and Alzheimer’s Disease,"Blebea, Nicoleta-Mirela and Pușcașu, Ciprian and Hancu, Gabriel and Stăniguț, Alina Mihaela and Chiriță, Cornel",2025,Pharmaceuticals,10.3390/ph18060890,https://www.scopus.com/pages/publications/105009107184?origin=resultslist,,18,6,Review,Cited by: 3; All Open Access; Gold Open Access; Green Open Access,True,True,True
Kaszyńska2024,ARTICLE,Cannabinoids: Potential for Modulation and Enhancement When Combined with Vitamin B12 in Case of Neurodegenerative Disorders,"Kaszyńska, Anna Aleksandra",2024,Pharmaceuticals,10.3390/ph17060813,https://www.scopus.com/pages/publications/85197353505?origin=resultslist,,17,6,Review,Cited by: 10; All Open Access; Gold Open Access; Green Open Access,True,True,True
Fanciulli2025,ARTICLE,"Diagnosis and treatment of autonomic failure, pain and sleep disturbances in Parkinson’s disease: guideline “Parkinson’s disease” of the German Society of Neurology","Fanciulli, Alessandra and Sixel-Döring, Friederike and Buhmann, Carsten and Krismer, Florian and Hermann, Wiebke and Winkler, Christian and Woitalla, Dirk and Jost, Wolfgang H. and Zeuner, Kirsten and Witt, Karsten and Wegner, Florian and Warnecke, Tobias and Wächter, Tobias and Walter, Uwe and van Eimeren, Thilo and Tönges, Lars and Storch, Alexander and Seppi, Klaus and Schnitzler, Alfons and Schrader, Christoph and Schneider, Anja and Ruf, Viktoria and Rieß, Olaf and Reetz, Kathrin and Reese, René and Pötter-Nerger, Monika and Outeiro, Tiago and Odin, Per and Neumann, Manuela and Mollenhauer, Brit and Meyer, Philipp T. and Menzel, Regina and Maetzler, Walter and Maaß, Sylvia and Lorenzl, Stefan and Löhle, Matthias and Loewenbrück, Kai and Lingor, Paul and Liepelt-Scarfone, Inga and Levin, Johannes and Kuhlenbäumer, Gregor and Krack, Paul and Kühn, Andrea and Köglsperger, Thomas and Klietz, Martin and Klein, Christine and Klebe, Stephan and Kassubek, Jan and Kalbe, Elke and Hopfner, Franziska and Höllerhage, Matthias and Hilker-Roggendorf, Rüdiger and Hasan, Alkomiet and Segeberg, Bad and Gausepohl, Madeleine and Folkerts, Ann-Kristin and Fimm, Bruno and Eggers, Carsten and Beelitz-Heilstätten and Ebersbach, Georg and Dodel, Richard and Deuschl, Günther and Deuschl, Cornelius and Claßen, Joseph and Ceballos-Baumann, Andrés and Brockmann, Kathrin and Berg, Daniela and Becktepe, Jos and Bähr, Mathias and Trenkwalder, Claudia and Höglinger, Günter",2025,Journal of Neurology,10.1007/s00415-024-12730-5,https://www.scopus.com/pages/publications/85214025792?origin=resultslist,,272,1,Review,Cited by: 18; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True
Demiri2025,ARTICLE,Neurofilament Light Chain in Cerebrospinal Fluid and Blood in Multiple System Atrophy: A Systematic Review and Meta-Analysis,"Demiri, Silvia and Veltsista, Dimitra and Siokas, Vasileios and Spiliopoulos, Kanellos C. and Tsika, Antonia and Stamati, Polyxeni and Chroni, Elisabeth and Dardiotis, Efthimios and Liampas, Ioannis",2025,Brain Sciences,10.3390/brainsci15030241,https://www.scopus.com/pages/publications/105001228544?origin=resultslist,,15,3,Review,Cited by: 8; All Open Access; Gold Open Access; Green Open Access,True,True,True
Feng2026,ARTICLE,GPR3 in neuro-metabolic-immune-reproductive nexus–a potential therapeutic target for Multi-System diseases,"Feng, Bi-Dan and Qin, Ji-Yao and Qin, Qian-qiong and Xu, Zui-Cai and Zhang, Hai-Qing",2026,Annals of Medicine,10.1080/07853890.2026.2619216,https://www.scopus.com/pages/publications/105028350626?origin=resultslist,,58,1,Review,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
Awathale2026,ARTICLE,Role of GPR55 in glutamatergic and dopaminergic signaling: A review of preclinical evidence in neuropsychiatric disorders,"Awathale, Sanjay N. and Nakhate, Kartik T. and Ali, Noor and More, Balaji R. and Goyal, Sameer N.",2026,Molecular Pharmacology,10.1016/j.molpha.2026.100131,https://www.scopus.com/pages/publications/105041427803?origin=resultslist,,108,5-6,Review,Cited by: 0,False,False,False
Sukmueng2026,ARTICLE,Plant-derived therapies in Parkinson’s disease: a systematic review of clinical evidence,"Sukmueng, Narumol and Phokaewvarangkul, Onanong and Bhidayasiri, Roongroj",2026,Journal of Neural Transmission,10.1007/s00702-026-03239-4,https://www.scopus.com/pages/publications/105045409868?origin=resultslist,,,,Review,Cited by: 0,False,False,False
Niu2025,ARTICLE,Plant-derived compounds as potential neuroprotective agents in Parkinson's disease,"Niu, Chengu and Zou, Yu and Dong, Miaoxian and Niu, Yingcai",2025,Nutrition,10.1016/j.nut.2024.112610,https://www.scopus.com/pages/publications/85208990978?origin=resultslist,,130,,Review,Cited by: 5,False,False,False
de Fátima dos Santos Sampaio2024574,ARTICLE,"Therapeutic applicability of cannabidiol and other phytocannabinoids in epilepsy, multiple sclerosis and Parkinson's disease and in comorbidity with psychiatric disorders","de Fátima dos Santos Sampaio, Maria and de Paiva, Yara Bezerra and Sampaio, Tuane Bazanella and Pereira, Messias Gonzaga and Coimbra, Norberto Cysne",2024,Basic and Clinical Pharmacology and Toxicology,10.1111/bcpt.13997,https://www.scopus.com/pages/publications/85188059264?origin=resultslist,574 - 601,134,5,Review,Cited by: 22; All Open Access; Bronze Open Access,True,False,False
