citekey,entry_type,title,author,year,journal,doi,url,pages,volume,number,scopus_type,note,open_access_flag,gold_oa,green_oa,record_id,citekey_collision
Karunakaran2025,ARTICLE,Spatial and functional profiles distinguish target sets of Parkinson’s disease and antipsychotic drugs with different clinical effects,"Karunakaran, Kalyani B. and Jain, Sanjeev and Widera, Darius and Cottrell, Graeme S.",2025,Translational Psychiatry,10.1038/s41398-025-03351-1,https://www.scopus.com/pages/publications/105002720438?origin=resultslist,,15,1,Article,Cited by: 1; All Open Access; Gold Open Access; Green Open Access,True,True,True,Karunakaran2025,False
Liu2024863,ARTICLE,Short-Term Cannabidiol with Δ-9-Tetrahydrocannabinol in Parkinson's Disease: A Randomized Trial,"Liu, Ying and Bainbridge, Jacquelyn and Sillau, Stefan and Rajkovic, Sarah and Adkins, Michelle and Domen, Christopher H. and Thompson, John A. and Seawalt, Tristan and Klawitter, Jost and Sempio, Cristina and Chin, Grace and Forman, Lisa and Fullard, Michelle and Hawkins, Trevor and Seeberger, Lauren and Newman, Heike and Vu, David and Leehey, Maureen Anne",2024,Movement Disorders,10.1002/mds.29768,https://www.scopus.com/pages/publications/85187641423?origin=resultslist,863 - 875,39,5,Article,Cited by: 22; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True,Liu2024863,False
Anis2026,ARTICLE,Exploratory Prospective Study of Self-Titrated Medical Cannabis for Nonmotor Symptoms in Parkinson’s Disease,"Anis, Omer and Lassman, Simon and Goldberg, Tomer and Saar, Adi and Meiri, David and Shapira, Anna and Fay-Karmon, Tsvia and Ephraty, Lilach and Hassin-Baer, Sharon and Anis, Saar",2026,Cannabis and Cannabinoid Research,10.1177/25785125261458680,https://www.scopus.com/pages/publications/105046976069?origin=resultslist,,,,Article,Cited by: 0,False,False,False,Anis2026,False
Constantinides2025,ARTICLE,Progressive supranuclear palsy against everyone else: a look into the specificity of MRI markers,"Constantinides, Vasilios C. and Brinia, Maria-Evgenia and Kapsali, Ioanna and Giagkou, Nikolaos and Velonakis, Georgios and Papageorgiou, Sokratis G. and Paraskevas, George P. and Kapaki, Elisabeth and Stefanis, Leonidas",2025,Journal of the Neurological Sciences,10.1016/j.jns.2025.123731,https://www.scopus.com/pages/publications/105018862075?origin=resultslist,,478,,Article,Cited by: 2; All Open Access; Hybrid Gold Open Access,True,True,False,Constantinides2025,False
Han2024,ARTICLE,Cannabidiol inhibits transient receptor potential canonical 4 and modulates excitability of pyramidal neurons in mPFC,"Han, Yujun and Wang, Shuting and Xiang, Yu and Chang, Liuliu and Wang, Xian and Ren, Shimin and Guo, Fei and Li, Tianyu and Liu, Zhiqiang and Li, Yang",2024,Frontiers in Pharmacology,10.3389/fphar.2024.1431758,https://www.scopus.com/pages/publications/85210163990?origin=resultslist,,15,,Article,Cited by: 4; All Open Access; Gold Open Access; Green Open Access,True,True,True,Han2024,False
Esfandi2025,ARTICLE,Cannabidiol Extracted from Cannabis sativa L. Plant Shows Neuroprotective Impacts Against 6-HODA-Induced Neurotoxicity via Nrf2 Signal Transduction Pathway,"Esfandi, Afsaneh and Mehrafarin, Ali and Jari, Sepideh Kalateh and Badi, Hassanali Naghdi and Larijani, Kambiz",2025,Iranian Journal of Pharmaceutical Research,10.5812/ijpr-160499,https://www.scopus.com/pages/publications/105008701104?origin=resultslist,,24,1,Article,Cited by: 2; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True,Esfandi2025,False
Laaboudi2024,ARTICLE,"In the weeds: A comprehensive review of cannabis; its chemical complexity, biosynthesis, and healing abilities","Laaboudi, Fatima-Zahrae and Rejdali, Mohamed and Amhamdi, Hassan and Salhi, Amin and Elyoussfi, Abedellah and Ahari, M.’hamed",2024,Toxicology Reports,10.1016/j.toxrep.2024.101685,https://www.scopus.com/pages/publications/85197372392?origin=resultslist,,13,,Review,Cited by: 30; All Open Access; Gold Open Access; Green Open Access,True,True,True,Laaboudi2024,False
Blebea2025,ARTICLE,Recent Preclinical Evidence on Phytocannabinoids in Neurodegenerative Disorders: A Focus on Parkinson’s and Alzheimer’s Disease,"Blebea, Nicoleta-Mirela and Pușcașu, Ciprian and Hancu, Gabriel and Stăniguț, Alina Mihaela and Chiriță, Cornel",2025,Pharmaceuticals,10.3390/ph18060890,https://www.scopus.com/pages/publications/105009107184?origin=resultslist,,18,6,Review,Cited by: 3; All Open Access; Gold Open Access; Green Open Access,True,True,True,Blebea2025,False
Tabi2025,ARTICLE,Differential impact of Cannabis abuse on neurological disorders,"Tabi, Younes Adam and Meyer, Eva Christina",2025,Journal of the Neurological Sciences,10.1016/j.jns.2025.123527,https://www.scopus.com/pages/publications/105004811876?origin=resultslist,,474,,Article,Cited by: 1; All Open Access; Hybrid Gold Open Access,True,True,False,Tabi2025,False
de Almeida Cruz2026,ARTICLE,Cannabis sativa extracts reduce inclusion formation in a cell model of alpha-synuclein aggregation,"de Almeida Cruz, Tamires and de Paulo Osorio, Rodrigo and de Menezes Epifanio, Neide Mara and Merghani, Madiha and Pereira, Marcos Dias and de Almeida Chaves, Douglas Siqueira and Outeiro, Tiago Fleming and Riger, Cristiano Jorge",2026,Fitoterapia,10.1016/j.fitote.2025.106968,https://www.scopus.com/pages/publications/105020982511?origin=resultslist,,188,,Article,Cited by: 0; All Open Access; Green Open Access,True,False,True,de Almeida Cruz2026,False
