citekey,entry_type,title,author,year,journal,doi,url,pages,volume,number,scopus_type,note,open_access_flag,gold_oa,green_oa
Zheng20249829,ARTICLE,"Behavior of enzymes under high pressure in food processing: mechanisms, applications, and developments","Zheng, Nan and Long, Mengfei and Zhang, Zehua and Du, Shuang and Huang, Xinlei and Osire, Tolbert and Xia, Xiaole",2024,Critical Reviews in Food Science and Nutrition,10.1080/10408398.2023.2217268,https://www.scopus.com/pages/publications/85160427024?origin=resultslist,9829 - 9843,64,27,Review,Cited by: 16,False,False,False
Zhang2022,ARTICLE,Recent Progress in the Synergistic Bactericidal Effect of High Pressure and Temperature Processing in Fruits and Vegetables and Related Kinetics,"Zhang, Sinan and Meenu, Maninder and Hu, Lihui and Ren, Junde and Ramaswamy, Hosahalli S. and Yu, Yong",2022,Foods,10.3390/foods11223698,https://www.scopus.com/pages/publications/85142499975?origin=resultslist,,11,22,Review,Cited by: 17; All Open Access; Gold Open Access; Green Open Access,True,True,True
Djekic2022671,ARTICLE,Analysis and Comparison of Environmental Impacts of Nonthermal Food Technologies,"Djekic, Ilija and Tomasević, Igor",2022,Food Engineering Series,10.1007/978-3-030-92415-7_23,https://www.scopus.com/pages/publications/85139008260?origin=resultslist,671 - 685,,,Book chapter,Cited by: 5; All Open Access; Green Open Access,True,False,True
Ferreira2023,ARTICLE,Effect of high pressure processing and water activity on pressure resistant spoilage lactic acid bacteria (Latilactobacillus sakei) in a ready-to-eat meat emulsion model,"Ferreira, Natália Brunna Moresco and Rodrigues, Maria Isabel and Cristianini, Marcelo",2023,International Journal of Food Microbiology,10.1016/j.ijfoodmicro.2023.110293,https://www.scopus.com/pages/publications/85161706958?origin=resultslist,,401,,Article,Cited by: 14,False,False,False
Erdem20249151,ARTICLE,Quality changes in high hydrostatic pressure treated enriched tomato sauce,"Erdem, Furkan and Tas, Ozan and Erol, Nursen and Oztop, Mecit and Alpas, Hami",2024,Journal of the Science of Food and Agriculture,10.1002/jsfa.13736,https://www.scopus.com/pages/publications/85197700447?origin=resultslist,9151 - 9159,104,15,Article,Cited by: 4; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True
Maghami2026,ARTICLE,Reduced-temperature pasteurization of apple juice using a flow-through sonicator,"Maghami, Sara and Rumpunen, Kimmo and Johansson, Örjan",2026,Ultrasonics Sonochemistry,10.1016/j.ultsonch.2026.107926,https://www.scopus.com/pages/publications/105042563392?origin=resultslist,,131,,Article,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
Onyeaka20233663,ARTICLE,Application of Ultrasound Technology in Food Processing with emphasis on bacterial spores,"Onyeaka, Helen and Miri, Taghi and Hart, Abarasi and Anumudu, Christian and Nwabor, Ozioma Forstinus",2023,Food Reviews International,10.1080/87559129.2021.2013255,https://www.scopus.com/pages/publications/85128495005?origin=resultslist,3663 - 3675,39,7,Review,Cited by: 67; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True
Stefanini2022193,ARTICLE,Benefits and effectiveness of high pressure processing on cheese: A ricotta case study,"Stefanini, Roberta and Ronzano, Anna and Borghesi, Giulia and Vignali, Giuseppe",2022,International Journal of Food Engineering,10.1515/ijfe-2021-0023,https://www.scopus.com/pages/publications/85115609580?origin=resultslist,193 - 199,18,3,Article,Cited by: 6,False,False,False
Seyedalangi2025,ARTICLE,Combined effects of gliding-arc plasma and C-phycocyanin on antioxidant activity and shelf-life extension of rainbow trout (Oncorhynchus mykiss) fillets,"Seyedalangi, Maedehsadat and Sari, Amir Hossein and Nowruzi, Bahareh and Anvar, Seyed Amir Ali",2025,PLOS ONE,10.1371/journal.pone.0336896,https://www.scopus.com/pages/publications/105022174499?origin=resultslist,,20,11 November,Article,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
Schnabel2021115,ARTICLE,Plasma-Functionalized Water: from Bench to Prototype for Fresh-Cut Lettuce,"Schnabel, Uta and Handorf, Oliver and Stachowiak, Joerg and Boehm, Daniela and Weit, Christoph and Weihe, Thomas and Schäfer, Jan and Below, Harald and Bourke, Paula and Ehlbeck, Joerg",2021,Food Engineering Reviews,10.1007/s12393-020-09238-9,https://www.scopus.com/pages/publications/85085128573?origin=resultslist,115 - 135,13,1,Article,Cited by: 50; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True
